Year,Planning Area,,others,owner,tenant
2020,Paya Lebar,,0,0,0
2020,Pioneer,,0,0,0
2020,Punggol,,338,51926,3902
2020,Queenstown,,514,31270,5269
2020,River Valley,,220,2454,1303
2020,Rochor,,0,0,0
2020,Seletar,,0,0,0
2020,Sembawang,,362,29943,2745
2020,Sengkang,,451,74600,4325
2020,Serangoon,,460,34232,3394
2020,Simpang,,0,0,0
2020,Singapore River,,0,0,0
2020,Southern Islands,,0,0,0
2020,Straits View,,0,0,0
2020,Sungei Kadut,,0,0,0
2020,Tampines,,546,77953,5183
2020,Tanglin,,258,5432,2248
2020,Tengah,,0,0,0
2020,Toa Payoh,,366,38826,7687
2020,Tuas,,0,0,0
2020,Western Islands,,0,0,0
2020,Western Water Catchment,,0,0,0
2020,Woodlands,,621,71040,7178
2020,Yishun,,599,68814,5990
