Town name,BTO name,Project type,Launch date,Estimated completion date,Type,Total,Full brochure,Launch brochure,Notes & Errata
Kallang/Whampoa,Tanjong Rhu Riverfront I & II,HS-BTO,19 Jun 2024,48 / 55 months,PLH,2063,"<a href=""/hdb-brochures/bto-2024-06/tanjong_rhu_riverfront_I_II.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Jurong West,Teban Breeze,HS-BTO,19 Jun 2024,54 months,non-m,1086,"<a href=""/hdb-brochures/bto-2024-06/teban_breeze.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bedok,Bedok North Springs,HS-BTO,21 Feb 2024,38 months,mature,433,"<a href=""/hdb-brochures/bto-2024-02/bedok_north_springs.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bedok,Bedok South Bloom,HS-BTO,21 Feb 2024,40 months,mature,528,"<a href=""/hdb-brochures/bto-2024-02/bedok_south_bloom.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Punggol,Matilda Riverside,HS-BTO,21 Feb 2024,37 months,non-m,962,"<a href=""/hdb-brochures/bto-2024-02/matilda_riverside.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Choa Chu Kang,Rail Garden @ CCK,HS-BTO,21 Feb 2024,45 months,non-m,465,"<a href=""/hdb-brochures/bto-2024-02/rail_garden_@_cck.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Queenstown,Tanglin Halt Courtyard,HS-BTO,21 Feb 2024,58 months,PLH,251,"<a href=""/hdb-brochures/bto-2024-02/tanglin_halt_courtyard.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Hougang,Tanjong Tree Residences @ Hougang,HS-BTO,21 Feb 2024,39 months,non-m,360,"<a href=""/hdb-brochures/bto-2024-02/tanjong_tree_residences_@_hougang.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Woodlands,Woodgrove Edge,HS-BTO,21 Feb 2024,38/39 months,non-m,1127,"<a href=""/hdb-brochures/bto-2024-02/woodgrove_edge.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bukit Merah,Alexandra Peaks,HS-BTO,05 Dec 2023,59 months,PLH,904,"<a href=""/hdb-brochures/bto-2023-12/alexandra_peaks.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bedok,Chai Chee Green,HS-BTO,05 Dec 2023,39 / 43 months,mature,1234,"<a href=""/hdb-brochures/bto-2023-12/chai_chee_green.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Jurong West,Jurong Arcadia,HS-BTO,05 Dec 2023,37 months,non-m,716,"<a href=""/hdb-brochures/bto-2023-12/jurong_arcadia.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bukit Panjang,Petir Park Edge,HS-BTO,05 Dec 2023,48 months,non-m,334,"<a href=""/hdb-brochures/bto-2023-12/petir_park_edge.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bishan,Sin Ming Residences,HS-BTO,05 Dec 2023,32 months,mature,732,"<a href=""/hdb-brochures/bto-2023-12/sin_ming_residences.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Queenstown,Ulu Pandan Vista,HS-BTO,05 Dec 2023,59 months,PLH,890,"<a href=""/hdb-brochures/bto-2023-12/ulu_pandan_vista.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Woodlands,Urban Rise @ Woodlands,HS-BTO,05 Dec 2023,51 months,non-m,848,"<a href=""/hdb-brochures/bto-2023-12/urban_rise_@_woodlands.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Woodlands,Woodlands Beacon,HS-BTO,05 Dec 2023,50 months,non-m,399,"<a href=""/hdb-brochures/bto-2023-12/woodlands_beacon.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Tengah,Plantation Edge I & II,HS-BTO,04 Oct 2023,36 / 40 months,non-m,1010,"<a href=""/hdb-brochures/bto-2023-10/plantation_edge_I_II.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Choa Chu Kang,Rail Green I & II @ CCK,HS-BTO,04 Oct 2023,39 / 48 months,non-m,1895,"<a href=""/hdb-brochures/bto-2023-10/rail_green_I_II_@_cck.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Rajah Residences,HS-BTO,04 Oct 2023,52 months,mature,739,"<a href=""/hdb-brochures/bto-2023-10/rajah_residences.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Queenstown,Tanglin Halt Cascadia,HS-BTO,04 Oct 2023,54 months,PLH,973,"<a href=""/hdb-brochures/bto-2023-10/tanglin_halt_cascadia.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Tenteram Vantage,HS-BTO,04 Oct 2023,45 months,mature,1040,"<a href=""/hdb-brochures/bto-2023-10/tenteram_vantage.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Verandah @ Kallang,HS-BTO,04 Oct 2023,42 months,PLH,1143,"<a href=""/hdb-brochures/bto-2023-10/verandah_@_kallang.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bedok,Bedok South Blossoms,HS-BTO,30 May 2023,3Q 2027,mature,1640,"<a href=""/hdb-brochures/bto-2023-05/bedok_south_blossoms.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Farrer Park Arena,HS-BTO,30 May 2023,4Q 2027,PLH,569,"<a href=""/hdb-brochures/bto-2023-05/farrer_park_arena.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Serangoon,Serangoon North Vista,HS-BTO,30 May 2023,3Q 2027,mature,330,"<a href=""/hdb-brochures/bto-2023-05/serangoon_north_vista.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Tengah,Parc Meadow @ Tengah,HS-BTO,30 May 2023,1Q 2027 - 2Q 2027,non-m,1985,"<a href=""/hdb-brochures/bto-2023-05/parc_meadow_@_tengah.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Tengah,Plantation Verge,HS-BTO,30 May 2023,3Q 2027,non-m,971,"<a href=""/hdb-brochures/bto-2023-05/plantation_verge.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Tengah,Brickland Weave,HS-BTO,28 Feb 2023,4Q 2027,non-m,1641,"<a href=""/hdb-brochures/bto-2023-02/brickland_weave.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Kallang/Whampoa,Farrer Park Fields,HS-BTO,28 Feb 2023,2Q 2028,PLH,1274,"<a href=""/hdb-brochures/bto-2023-02/farrer_park_fields.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Jurong West,Jurong West Crystal,HS-BTO,28 Feb 2023,3Q 2027,non-m,271,"<a href=""/hdb-brochures/bto-2023-02/jurong_west_crystal.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Kallang/Whampoa,Rajah Summit,HS-BTO,28 Feb 2023,2Q 2028,mature,510,"<a href=""/hdb-brochures/bto-2023-02/rajah_summit.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Queenstown,Ulu Pandan Glades,HS-BTO,28 Feb 2023,2Q 2029,PLH,732,"<a href=""/hdb-brochures/bto-2023-02/ulu_pandan_glades.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Yishun,Aranda Breeze @ Yishun,HS-BTO,23 Nov 2022,2Q 2028,non-m,699,"<a href=""/hdb-brochures/bto-2022-11/Aranda_Breeze_@_Yishun.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Tengah,Garden Waterfront I & II @ Tengah,HS-BTO,23 Nov 2022,1Q 2027,non-m,2077,"<a href=""/hdb-brochures/bto-2022-11/Garden_Waterfront_I_II_@_Tengah.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Queenstown,Ghim Moh Natura,HS-BTO,23 Nov 2022,1Q 2028,PLH,991,"<a href=""/hdb-brochures/bto-2022-11/Ghim_Moh_Natura.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Kallang/Whampoa,Kallang Horizon,HS-BTO,23 Nov 2022,1Q 2028,PLH,477,"<a href=""/hdb-brochures/bto-2022-11/Kallang_Horizon.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Yishun,Miltonia Breeze @ Yishun,HS-BTO,23 Nov 2022,2Q 2029,non-m,1334,"<a href=""/hdb-brochures/bto-2022-11/Miltonia_Breeze_@_Yishun.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Queenstown,Queensway Canopy,HS-BTO,23 Nov 2022,4Q 2028,mature,996,"<a href=""/hdb-brochures/bto-2022-11/Queensway_Canopy.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Queenstown,Ulu Pandan Banks,HS-BTO,23 Nov 2022,3Q 2029,PLH,1330,"<a href=""/hdb-brochures/bto-2022-11/Ulu_Pandan_Banks.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Yishun,Vanda Breeze @ Yishun,HS-BTO,23 Nov 2022,2Q 2029,non-m,961,"<a href=""/hdb-brochures/bto-2022-11/Vanda_Breeze_@_Yishun.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Bukit Batok,West Glades @ Bukit Batok,HS-BTO,23 Nov 2022,1Q 2028,non-m,790,"<a href=""/hdb-brochures/bto-2022-11/West_Glades_@_Bukit_Batok.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Bukit Merah,Alexandra Vale,HS-BTO,30 Aug 2022,2Q 2028,PLH,782,"<a href=""/hdb-brochures/bto-2022-08/Alexandra_Vale.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Ang Mo Kio,Central Weave @ AMK,HS-BTO,30 Aug 2022,2Q 2028,mature,896,"<a href=""/hdb-brochures/bto-2022-08/Central_Weave_@_AMK.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Bukit Merah,Havelock Hillside,HS-BTO,30 Aug 2022,4Q 2028,PLH,869,"<a href=""/hdb-brochures/bto-2022-08/Havelock_Hillside.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Jurong East,Jurong East Breeze,HS-BTO,30 Aug 2022,2Q 2028,non-m,562,"<a href=""/hdb-brochures/bto-2022-08/Jurong_East_Breeze.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Choa Chu Kang,Keat Hong Grange,HS-BTO,30 Aug 2022,4Q 2026,non-m,987,"<a href=""/hdb-brochures/bto-2022-08/Keat_Hong_Grange.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Tampines,Sun Plaza Spring,HS-BTO,30 Aug 2022,2Q 2026,mature,267,"<a href=""/hdb-brochures/bto-2022-08/Sun_Plaza_Spring.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Woodlands,Woodlands South Plains,HS-BTO,30 Aug 2022,1Q 2027,non-m,630,"<a href=""/hdb-brochures/bto-2022-08/Woodlands_South_Plains.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Bukit Merah,Bukit Merah Ridge,HS-BTO,27 May 2022,1Q 2028,PLH,1669,"<a href=""/hdb-brochures/bto-2022-05/Bukit_Merah_Ridge.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Queenstown,Ghim Moh Ascent,HS-BTO,27 May 2022,1Q 2028,PLH,867,"<a href=""/hdb-brochures/bto-2022-05/Ghim_Moh_Ascent.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Toa Payoh,Kim Keat Heights,HS-BTO,27 May 2022,3Q 2027,mature,375,"<a href=""/hdb-brochures/bto-2022-05/Kim_Keat_Heights.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Jurong West,Lakeside View,HS-BTO,27 May 2022,4Q 2026,non-m,1016,"<a href=""/hdb-brochures/bto-2022-05/Lakeside_View.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Yishun,Yishun Beacon,HS-BTO,27 May 2022,2Q 2026,non-m,646,"<a href=""/hdb-brochures/bto-2022-05/Yishun_Beacon.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Geylang,Dakota Crest,HS-BTO,17 Feb 2022,4Q 2027,mature,443,"<a href=""/hdb-brochures/bto-2022-02/Dakota_Crest.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Yishun,Grove Spring @ Yishun,HS-BTO,17 Feb 2022,4Q 2024,non-m,987,"<a href=""/hdb-brochures/bto-2022-02/Grove_Spring_@_Yishun.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Kallang/Whampoa,King George’s Heights,HS-BTO,17 Feb 2022,3Q 2027,PLH,398,"<a href=""/hdb-brochures/bto-2022-02/King_George's_Heights.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Tengah,Parc Flora @ Tengah,HS-BTO,17 Feb 2022,3Q 2025,non-m,560,"<a href=""/hdb-brochures/bto-2022-02/Parc_Flora_@_Tengah.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Tengah,Plantation Creek,HS-BTO,17 Feb 2022,2Q 2026,non-m,713,"<a href=""/hdb-brochures/bto-2022-02/Plantation_Creek.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Yishun,Yishun Boardwalk,HS-BTO,17 Feb 2022,2Q 2025,non-m,852,"<a href=""/hdb-brochures/bto-2022-02/Yishun_Boardwalk.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Choa Chu Kang,Heart of Yew Tee,HS-BTO,17 Nov 2021,3Q 2026,non-m,68,"<a href=""/hdb-brochures/bto-2021-11/Heart_of_Yew_Tee.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Hougang,Hougang Olive,HS-BTO,17 Nov 2021,1Q 2025,non-m,390,"<a href=""/hdb-brochures/bto-2021-11/Hougang_Olive.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Kallang/Whampoa,Kent Heights,HS-BTO,17 Nov 2021,4Q 2026,mature,430,"<a href=""/hdb-brochures/bto-2021-11/Kent_Heights.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Jurong West,Nanyang Opal,HS-BTO,17 Nov 2021,4Q 2025,non-m,221,"<a href=""/hdb-brochures/bto-2021-11/Nanyang_Opal.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Tengah,Parc Clover @ Tengah,HS-BTO,17 Nov 2021,4Q 2024,non-m,1124,"<a href=""/hdb-brochures/bto-2021-11/Parc_Clover_@_Tengah.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Tengah,Parc Glen @ Tengah,HS-BTO,17 Nov 2021,4Q 2024,non-m,1008,"<a href=""/hdb-brochures/bto-2021-11/Parc_Glen_@_Tengah.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Central Area,River Peaks I & II,HS-BTO,17 Nov 2021,2Q 2028,PLH,960,"<a href=""/hdb-brochures/bto-2021-11/River_Peaks_I_&amp;_II.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Hougang,Tanjong Tree Residences @ Hougang,HS-BTO,17 Nov 2021,2Q 2026,non-m,300,"<a href=""/hdb-brochures/bto-2021-11/Tanjong_Tree_Residences_@_Hougang.pdf"" target=""_blank"" rel=""noopener"">brochure</a>",,
Hougang,Hougang Citrine,HS-BTO,11 Aug 2021,1Q 2025,non-m,749,"<a href=""/hdb-brochures/bto-2021-08/Hougang_Citrine.pdf"" target=""_blank"">brochure</a>",,
Hougang,Kovan Wellspring,HS-BTO,11 Aug 2021,3Q 2026,non-m,586,"<a href=""/hdb-brochures/bto-2021-08/Kovan_Wellspring.pdf"" target=""_blank"">brochure</a>",,
Queenstown,Queen's Arc,HS-BTO,11 Aug 2021,3Q 2027,mature,610,"<a href=""/hdb-brochures/bto-2021-08/Queen's_Arc.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenJade,HS-BTO,11 Aug 2021,3Q 2025,mature,546,"<a href=""/hdb-brochures/bto-2021-08/Tampines_GreenJade.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenQuartz,HS-BTO,11 Aug 2021,2Q 2026,mature,1613,"<a href=""/hdb-brochures/bto-2021-08/Tampines_GreenQuartz.pdf"" target=""_blank"">brochure</a>",,
Jurong East,Toh Guan Grove,HS-BTO,11 Aug 2021,1Q 2026,non-m,569,"<a href=""/hdb-brochures/bto-2021-08/Toh_Guan_Grove.pdf"" target=""_blank"">brochure</a>",,
Kallang/Whampoa,Towner Residences,HS-BTO,11 Aug 2021,4Q 2026,mature,316,"<a href=""/hdb-brochures/bto-2021-08/Towner_Residences.pdf"" target=""_blank"">brochure</a>",,
Tengah,Garden Bloom @ Tengah,HS-BTO,25 May 2021,3Q 2025,non-m,782,"<a href=""/hdb-brochures/bto-2021-05/Garden_Bloom_@_Tengah.pdf"" target=""_blank"">brochure</a>",,
Geylang,MacPherson Weave,HS-BTO,25 May 2021,1Q 2026,mature,1382,"<a href=""/hdb-brochures/bto-2021-05/MacPherson_Weave.pdf"" target=""_blank"">brochure</a>",,
Bukit Merah,Telok Blangah Beacon,HS-BTO,25 May 2021,1Q 2027,mature,175,"<a href=""/hdb-brochures/bto-2021-05/Telok_Blangah_Beacon.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Woodgrove Ascent,HS-BTO,25 May 2021,3Q 2025,non-m,1540,"<a href=""/hdb-brochures/bto-2021-05/Woodgrove_Ascent.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Alkaff Breeze,HS-BTO,04 Feb 2021,2Q 2024,mature,353,"<a href=""/hdb-brochures/bto-2021-02/Alkaff_Breeze.pdf"" target=""_blank"">brochure</a>",,
Bidadari,Bartley GreenRise,HS-BTO,04 Feb 2021,2Q 2025,mature,387,"<a href=""/hdb-brochures/bto-2021-02/Bartley_GreenRise.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,Harmony Village @ Bukit Batok,HS-BTO,04 Feb 2021,2Q 2024,non-m,169,,,
Kallang/Whampoa,McNair Heights,HS-BTO,04 Feb 2021,2Q 2026,mature,626,"<a href=""/hdb-brochures/bto-2021-02/McNair_Heights.pdf"" target=""_blank"">brochure</a>",,
Tengah,Parc Woods @ Tengah,HS-BTO,04 Feb 2021,1Q 2025,non-m,767,"<a href=""/hdb-brochures/bto-2021-02/Parc_Woods_%40_Tengah.pdf"" target=""_blank"">brochure</a>",,
Bidadari,ParkEdge @ Bidadari,HS-BTO,04 Feb 2021,1Q 2025,mature,476,"<a href=""/hdb-brochures/bto-2021-02/ParkEdge_%40_Bidadari.pdf"" target=""_blank"">brochure</a>",,
Bukit Batok,West Hill @ Bukit Batok,HS-BTO,04 Feb 2021,2Q 2026,non-m,962,"<a href=""/hdb-brochures/bto-2021-02/West_Hill_%40_Bukit_Batok.pdf"" target=""_blank"">brochure</a>",,
Sembawang,Sun Sails,HS-BTO,17 Nov 2020,2Q 2025,non-m,726,"<a href=""/hdb-brochures/bto-2020-11/Sun_Sails.pdf"" target=""_blank"">brochure</a>",,
Tengah,Garden Court @ Tengah,HS-BTO,17 Nov 2020,1Q 2024,non-m,790,"<a href=""/hdb-brochures/bto-2020-11/Garden_Court_%40_Tengah.pdf"" target=""_blank"">brochure</a>",,
Tengah,Garden Terrace @ Tengah,HS-BTO,17 Nov 2020,1Q 2024,non-m,789,"<a href=""/hdb-brochures/bto-2020-11/Garden_Terrace_%40_Tengah.pdf"" target=""_blank"">brochure</a>",,
Bishan,Bishan Ridges,HS-BTO,17 Nov 2020,2Q 2026,mature,1502,"<a href=""/hdb-brochures/bto-2020-11/Bishan_Ridges.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenEmerald,HS-BTO,17 Nov 2020,1Q 2025,mature,750,"<a href=""/hdb-brochures/bto-2020-11/Tampines_GreenEmerald.pdf"" target=""_blank"">brochure</a>",,
Toa Payoh,Bartley Beacon,HS-BTO,17 Nov 2020,2Q 2025,mature,880,"<a href=""/hdb-brochures/bto-2020-11/Bartley_Beacon.pdf"" target=""_blank"">brochure</a>",,
Toa Payoh,ParkView @ Bidadari,HS-BTO,17 Nov 2020,1Q 2025,mature,358,"<a href=""/hdb-brochures/bto-2020-11/ParkView_%40_Bidadari.pdf"" target=""_blank"">brochure</a>",,
Choa Chu Kang,Keat Hong Verge,HS-BTO,12 Aug 2020,1Q 2023,non-m,571,"<a href=""/hdb-brochures/bto-2020-08/Keat_Hong_Verge.pdf"" target=""_blank"">brochure</a>",,
Tengah,Parc Residences @ Tengah,HS-BTO,12 Aug 2020,2Q 2025 - 3Q 2025,non-m,1044,"<a href=""/hdb-brochures/bto-2020-08/Parc_Residences_%40_Tengah.pdf"" target=""_blank"">brochure</a>",,
Woodlands,Champions Bliss,HS-BTO,12 Aug 2020,3Q 2024,non-m,349,"<a href=""/hdb-brochures/bto-2020-08/Champions_Bliss.pdf"" target=""_blank"">brochure</a>",,
Woodlands,UrbanVille @ Woodlands,HS-BTO,12 Aug 2020,2Q 2026,non-m,1785,"<a href=""/hdb-brochures/bto-2020-08/UrbanVille_%40_Woodlands.pdf"" target=""_blank"">brochure</a>",,
Ang Mo Kio,Kebun Baru Edge,HS-BTO,12 Aug 2020,1Q 2025,mature,380,"<a href=""/hdb-brochures/bto-2020-08/Kebun_Baru_Edge.pdf"" target=""_blank"">brochure</a>",,
Bishan,Bishan Towers,HS-BTO,12 Aug 2020,2Q 2025,mature,472,"<a href=""/hdb-brochures/bto-2020-08/Bishan_Towers.pdf"" target=""_blank"">brochure</a>",,
Geylang,Dakota One,HS-BTO,12 Aug 2020,2Q 2025,mature,421,"<a href=""/hdb-brochures/bto-2020-08/Dakota_One.pdf"" target=""_blank"">brochure</a>",,
Pasir Ris,Costa Grove,HS-BTO,12 Aug 2020,4Q 2025,mature,1070,"<a href=""/hdb-brochures/bto-2020-08/Costa_Grove.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenCrest,HS-BTO,12 Aug 2020,4Q 2023,mature,346,"<a href=""/hdb-brochures/bto-2020-08/Tampines_GreenCrest.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenGlade,HS-BTO,12 Aug 2020,3Q 2023,mature,354,"<a href=""/hdb-brochures/bto-2020-08/Tampines_GreenGlade.pdf"" target=""_blank"">brochure</a>",,
Tampines,Tampines GreenOpal,HS-BTO,12 Aug 2020,2Q 2025,mature,1070,"<a href=""/hdb-brochures/bto-2020-08/Tampines_GreenOpal.pdf"" target=""_blank"">brochure</a>",,
Sembawang,Canberra Vista,HS-BTO,11 Feb 2020,2Q 2024 - 3Q 2024,non-m,1467,"<a href=""/hdb-brochures/bto-2020-02/Canberra_Vista.pdf"" target=""_blank"">brochure</a>",,
Toa Payoh,Kim Keat Ripples,HS-BTO,11 Feb 2020,2Q 2024,mature,708,"<a href=""/hdb-brochures/bto-2020-02/Kim_Keat_Ripples.pdf"" target=""_blank"">brochure</a>",,
Toa Payoh,Toa Payoh Ridge,HS-BTO,11 Feb 2020,1Q 2025,mature,920,"<a href=""/hdb-brochures/bto-2020-02/Toa_Payoh_Ridge.pdf"" target=""_blank"">brochure</a>",,
Tengah,Garden Vines @ Tengah,HS-BTO,12 Nov 2019,2Q 2023 - 3Q 2023,non-m,900,"<a href=""/hdb-brochures/bto-2019-11/Garden_Vines_%40_Tengah.pdf"" target=""_blank"">brochure</a>",,
